pid,last_retrive,likenum,reply,text,time,type
5138946,2023-06-08 13:29:14,3,7,求问大家，dz 保研本院比较稳能过，但是想冲一冲跨保，已知本院和跨保的目标院系都无夏令营，二者差不多的时间报名、面试、出结果，现在比较困扰的点有: 1. 本系人少且老师知道dz要跨保（因为大概率会去找本系老师要跨保的推荐信），结果如果我又出现在了本系保研的名单上，会不会让老师的印象比较差，影响本系保研的结果；2. 如果到时本院和跨保都通过了，但是拒绝了本专业的offer，会不会不太好（因为专业人少所以和老师之间的联系较为紧密），毕竟接下来还要再在本专业学习一年并有毕业论文等各项事情。dz 目前的打算是二者同时准备，毕竟跨保不一定能过，但是由于以上两点原因有点纠结，如果以上两点确实是需要考虑的比较重要的因素的话，dz 可能就考虑考虑放弃其中一个，专心准备一个方向了。如果有类似经历的学长学姐，希望能够得到您的一些建议，感谢！！,2023-06-07 13:21:26,text
5138947,2023-06-08 13:29:14,4,6,从小黑屋出来了,2023-06-07 13:22:23,text
5138948,2023-06-08 13:29:14,1,1,"有偿求zgm理力期末往年题
#xk #期末 #理力b",2023-06-07 13:22:59,text
5138949,2023-06-08 13:29:14,2,5,"有个nerd家长真的痛苦
学渣dz难得考好了，分享一下喜悦，我爹只会说“能拿奖学金吗？”以及“多考几个，让老爸高兴高兴[呲牙]”",2023-06-07 13:23:07,text
5138950,2023-06-08 13:29:14,3,2,请问有同学可以提供小说家讲堂莫言老师的录音吗？有偿求～,2023-06-07 13:23:55,text
5138951,2023-06-08 13:29:14,1,2,求问民族与社会第10讲中的填空题会考吗？,2023-06-07 13:24:18,text
5138952,2023-06-08 13:29:14,5,1,"tag：中哲下 期末 ylh wx 经验 往年题 回忆
捞一个去年的经验洞，感觉原dz写的东西依然很适用 #3743397",2023-06-07 13:24:23,text
5138953,2023-06-08 13:29:14,1,0,为什么校园网最近这么差啊,2023-06-07 13:25:11,text
5138954,2023-06-08 13:29:14,2,10,为什么衣服上常写英文，而不是中文,2023-06-07 13:25:16,text
5138955,2023-06-08 13:29:14,1,0,小语种保研 本系只能学文学。。真不想搞 害,2023-06-07 13:25:21,text
