	cid	pid	text	name	time	comment_id	last_retrive
8199	25313770	5595937	不是，他都这样了你还想着转换为nanpy？	Alice	2023-10-27 01:52:56	nan	2023-10-27 01:54:23
8203	25313774	5595937	6，这种你还谈，真就只要是帅哥干啥都行	Bob	2023-10-27 01:53:05	nan	2023-10-27 01:54:23
8205	25313776	5595937	？	Carol	2023-10-27 01:53:11	nan	2023-10-27 01:54:23
8208	25313780	5595937	那你也可以就玩玩啊	Dave	2023-10-27 01:53:20	nan	2023-10-27 01:54:23
8209	25313781	5595937	逆天dz	Eve	2023-10-27 01:53:29	nan	2023-10-27 01:54:23
8215	25313787	5595937	一开始对他的滤镜太高了	洞主	2023-10-27 01:53:48	25313770.0	2023-10-27 01:54:23
8218	25313790	5595937	开什么玩笑，要吐了	Alice	2023-10-27 01:53:55	nan	2023-10-27 01:54:23
8226	25313798	5595937	我也是小六边形美女啊 只是遇到这种反而稀奇觉得怎么回事	洞主	2023-10-27 01:54:28	25313774.0	2023-10-27 01:55:50
8231	25313807	5595937	我对感情蛮负责的	洞主	2023-10-27 01:54:57	25313780.0	2023-10-27 01:55:50
8235	25313813	5595937	想看看美女dz	Francis	2023-10-27 01:55:10	nan	2023-10-27 01:55:50
8239	25313817	5595937	真心提问 男生到底怎么想的	洞主	2023-10-27 01:55:20	25313781.0	2023-10-27 01:55:50
8241	25313820	5595937	你应该庆幸人家跟你挑明了，换其他人说不定骗到你身子后就跑了	Bob	2023-10-27 01:55:42	25313798.0	2023-10-27 01:57:18
8247	25313827	5595937	感觉就是想玩你的身子	Dave	2023-10-27 01:56:08	25313817.0	2023-10-27 01:57:18
8253	25313833	5595937	对的 他也这么说 他说他打直球坦诚不想骗我 说我是处 对感情挺认真的😅	洞主	2023-10-27 01:56:21	25313820.0	2023-10-27 01:57:18
8255	25313835	5595937	废话，想上你啊，等看腻你这张批脸了就甩啊	Alice	2023-10-27 01:56:23	25313817.0	2023-10-27 01:57:18
8257	25313837	5595937	逆天，快跑	Grace	2023-10-27 01:56:31	nan	2023-10-27 01:57:18
8259	25313839	5595937	我是真你妈绷不住了	Alice	2023-10-27 01:56:40	nan	2023-10-27 01:57:18
8261	25313844	5595937	没恋爱想法的话，自己爽了就行	Eve	2023-10-27 01:56:57	25313817.0	2023-10-27 01:58:44
8264	25313847	5595937	就是肯定我的短择价值吗 我长择家庭背景啥的都挺好啊	洞主	2023-10-27 01:57:10	25313835.0	2023-10-27 01:58:44
8272	25313856	5595937	a老师 骂醒我 我现在好上头	洞主	2023-10-27 01:57:41	25313839.0	2023-10-27 01:58:44
8278	25313863	5595937	我有点想骂你了😋	Alice	2023-10-27 01:57:58	25313847.0	2023-10-27 01:58:44
8280	25313865	5595937	有没有可能是情绪价值	Hans	2023-10-27 01:58:01	25313847.0	2023-10-27 01:58:44
8281	25313866	5595937	为什么上天安排这种人给我😭	洞主	2023-10-27 01:58:10	25313844.0	2023-10-27 01:58:44
8286	25313871	5595937	疑似做题做上瘾了	Isabella	2023-10-27 01:58:24	nan	2023-10-27 02:00:11
8287	25313872	5595937	可能人家就是没到考虑这个的时候	Dave	2023-10-27 01:58:30	25313847.0	2023-10-27 02:00:11
8289	25313874	5595937	你长择条件挺好的，但他只想短择，对有些人并不是长择优于短择的呀	Grace	2023-10-27 01:58:31	25313847.0	2023-10-27 02:00:11
8293	25313878	5595937	好，我认真跟你说	Alice	2023-10-27 01:58:45	25313856.0	2023-10-27 02:00:11
8296	25313882	5595937	人家是帅哥，凭什么要长择你啊，好看的美女千千万，人家长一张帅脸不就是去享受各种美女的身子的(老实说实话)	Bob	2023-10-27 01:58:53	25313847.0	2023-10-27 02:00:11
8305	25313892	5595937	？做题？	洞主	2023-10-27 01:59:22	25313871.0	2023-10-27 02:00:11
8312	25313899	5595937	我的评价是，白纸配白纸，报纸配报纸	Jason	2023-10-27 01:59:40	25313847.0	2023-10-27 02:00:11
8320	25313908	5595937	"第一，他这么直接说出自己的目的，有可能就是欲擒故纵，料到dz会主动送上门去
第二，你条件再好，也有比你条件更好的，他玩你没有一点损失，以后随便找，你送批给他干，也可以试试以后随便找😋"	Alice	2023-10-27 02:00:22	nan	2023-10-27 02:01:39
8326	25313917	5595937	醍醐灌顶了 长择不一定就优于短择 不同时间不同需求	洞主	2023-10-27 02:00:50	25313874.0	2023-10-27 02:01:39
8331	25313922	5595937	不要爱上py	Kate	2023-10-27 02:01:20	nan	2023-10-27 02:03:08
8337	25313928	5595937	说实话我觉得他就小帅一般 主要还是学习好的光环	洞主	2023-10-27 02:02:00	25313882.0	2023-10-27 02:03:08
8339	25313930	5595937	送批还事小，你把心也送上更好笑😋	Alice	2023-10-27 02:02:11	nan	2023-10-27 02:03:08
8344	25313938	5595937	有多好	Dave	2023-10-27 02:02:29	25313928.0	2023-10-27 02:03:08
8346	25313940	5595937	😭😭😭😭😭😭😭😭😭😭	洞主	2023-10-27 02:02:31	25313908.0	2023-10-27 02:03:08
8365	25313964	5595937	到时候你迷上这小子，他反手录你两个视频，你他妈就是一台长了批的提款机😋	Alice	2023-10-27 02:04:00	nan	2023-10-27 02:04:37
8378	25313979	5595937	A君说得对	Louis	2023-10-27 02:04:46	25313964.0	2023-10-27 02:06:03
8392	25313995	5595937	被pua了人财两空别来洞里哭就行，关我们吊事😋	Alice	2023-10-27 02:05:51	nan	2023-10-27 02:07:31
8398	25314002	5595937	md，A君你经历了啥or经受了啥（这么懂	Jason	2023-10-27 02:06:18	25313964.0	2023-10-27 02:07:31
8402	25314007	5595937	当然关我们事，我们少了一个可以×的×	Louis	2023-10-27 02:07:10	25313995.0	2023-10-27 02:07:31
8405	25314010	5595937	大概是看过不少视频（滑稽）	Margaret	2023-10-27 02:07:16	25314002.0	2023-10-27 02:09:00
8414	25314022	5595937	大概做过不少事(doge)	Bob	2023-10-27 02:08:14	25314010.0	2023-10-27 02:09:00
8422	25314030	5595937	我只是心眼比坏人更多	Alice	2023-10-27 02:08:53	25314002.0	2023-10-27 02:10:29
8424	25314032	5595937	说不定人家在完成什么百人斩，千人斩，你却非得跟人家谈感情	Louis	2023-10-27 02:09:19	nan	2023-10-27 02:10:29
8425	25314034	5595937	dz单纯成这样，毛都没长齐呢还玩这些，先多吃几年饭长点脑子再说吧	Alice	2023-10-27 02:09:29	nan	2023-10-27 02:10:29
8427	25314036	5595937	笑死了，找fwb都能被美化成坦诚对感情认真，你滤镜有10086层厚了吧	Nathan	2023-10-27 02:09:40	25313833.0	2023-10-27 02:10:29
8430	25314040	5595937	114514层	Alice	2023-10-27 02:09:56	25314036.0	2023-10-27 02:10:29
8432	25314042	5595937	6	Olivia	2023-10-27 02:10:04	nan	2023-10-27 02:10:29
8433	25314043	5595937	专业第一 国奖的那种吧	洞主	2023-10-27 02:10:05	25313938.0	2023-10-27 02:10:29
8434	25314045	5595937	我靠男人这么阴险狡诈的吗啊	洞主	2023-10-27 02:10:31	25313964.0	2023-10-27 02:11:58
8439	25314051	5595937	这种学习好的贵校一抓一大把，只是有的人懒得卷罢了	Nathan	2023-10-27 02:10:50	25314043.0	2023-10-27 02:11:58
8441	25314054	5595937	嘴巴放尊重点😅	洞主	2023-10-27 02:10:59	25314007.0	2023-10-27 02:11:58
8442	25314055	5595937	那我也是 我也不觉得这有什么可吸引人的	Dave	2023-10-27 02:11:01	25314043.0	2023-10-27 02:11:58
8443	25314056	5595937	这A君挺有趣一人啊，我就欣赏你这种心眼多但心肠好的（	Jason	2023-10-27 02:11:06	25314030.0	2023-10-27 02:11:58
8445	25314059	5595937	我估计你年纪小不忍心看你上当罢了，不然我早笑死了😋	Alice	2023-10-27 02:11:36	25314045.0	2023-10-27 02:11:58
8446	25314060	5595937	我一个男的都看不下去了……你快逃吧	Paul	2023-10-27 02:11:38	25314043.0	2023-10-27 02:11:58
8447	25314061	5595937	他说他大学四年都没谈恋爱啊 都在搞学习啊	洞主	2023-10-27 02:11:44	25314032.0	2023-10-27 02:11:58
8453	25314067	5595937	他说什么你就信什么，那我说我是你爹指腹为婚的丈夫，你马上嫁给我好吗😋	Alice	2023-10-27 02:12:16	25314061.0	2023-10-27 02:13:24
8459	25314073	5595937	我笨的要死 非高考进的贵校	洞主	2023-10-27 02:12:38	25314051.0	2023-10-27 02:13:24
8462	25314076	5595937	什么关系啊 吃吃瓜	Queen	2023-10-27 02:12:52	nan	2023-10-27 02:13:24
8464	25314078	5595937	院系（	Queen	2023-10-27 02:12:58	nan	2023-10-27 02:13:24
8473	25314087	5595937	洞主醒醒啊	Richard	2023-10-27 02:13:37	nan	2023-10-27 02:14:56
8474	25314088	5595937	笑死了，专心搞学习的会懂fwb这一套？	Nathan	2023-10-27 02:13:40	25314061.0	2023-10-27 02:14:56
8484	25314098	5595937	。。。我问他恋爱经历 他都说没有的 他给我的感觉很矛盾 又纯情又不确定关系？？	洞主	2023-10-27 02:14:11	25314059.0	2023-10-27 02:14:56
8492	25314106	5595937	我的意思是你要找学习好的，贵校一大堆学习不比他差的但人品比他好的，当然你单纯图他长得帅当我没说，直接把自己倒贴进去吧	Nathan	2023-10-27 02:14:46	25314073.0	2023-10-27 02:14:56
8499	25314113	5595937	请你先把你脑子里的“感觉”倒进垃圾桶里去，然后把客观公正的建议装进去OK？	Alice	2023-10-27 02:14:57	25314098.0	2023-10-27 02:16:28
8507	25314121	5595937	能说出玩玩，fwb的还能纯情？	Jason	2023-10-27 02:15:36	25314098.0	2023-10-27 02:16:28
